"Id","Response"
1,5
3,6
4,6
9,6
12,7
13,7
21,6
28,7
30,5
36,7
38,8
43,6
45,4
48,7
50,6
51,7
54,7
55,7
59,8
62,4
63,7
66,8
69,8
82,7
83,7
84,6
86,7
89,8
90,4
92,6
98,6
100,3
105,5
115,8
119,3
124,3
127,8
133,7
140,5
141,8
143,3
151,5
154,7
157,8
163,5
166,3
168,8
170,7
173,8
180,6
182,7
184,5
185,7
195,7
196,6
197,5
212,5
213,7
219,8
225,5
227,5
232,5
239,5
247,5
251,5
254,6
261,6
264,6
267,7
272,7
275,8
277,3
283,7
284,4
287,6
291,8
293,5
294,4
305,6
307,5
309,7
311,5
322,4
323,4
326,6
330,2
335,7
337,7
338,5
341,1
346,6
348,6
352,4
356,8
358,3
366,6
369,5
373,5
375,5
381,6
384,8
386,5
396,7
397,3
399,7
405,8
412,7
417,4
421,5
425,7
427,7
430,4
432,6
433,8
436,8
438,7
441,8
442,6
444,5
446,7
448,7
450,5
454,7
465,7
470,6
472,5
475,8
484,8
495,7
497,8
498,7
501,5
502,6
505,7
515,4
516,5
527,7
529,4
531,7
533,6
537,3
541,7
546,8
548,6
549,8
550,7
553,7
559,7
561,4
564,2
574,5
578,7
579,6
580,8
582,5
584,8
588,6
596,5
602,5
603,5
613,7
614,2
619,7
620,7
624,6
625,7
628,5
630,6
635,7
636,5
637,8
641,8
644,8
648,8
654,7
658,6
664,8
666,7
667,7
670,8
672,6
674,8
676,7
684,8
685,5
693,4
694,7
700,3
702,6
703,6
705,6
711,7
718,3
722,7
726,6
727,5
732,8
735,8
740,5
748,6
750,6
751,8
756,7
762,6
766,8
770,6
771,4
779,6
782,4
784,7
793,6
798,5
800,5
801,7
805,6
807,4
813,8
819,8
820,7
822,8
823,7
833,8
834,6
842,3
845,7
856,5
860,5
864,3
869,7
872,7
877,5
878,7
893,7
894,7
896,5
899,6
900,7
911,2
914,8
917,1
919,7
923,3
925,6
926,4
934,6
938,7
940,6
955,6
956,6
971,7
973,8
978,7
979,8
981,7
988,7
990,7
992,5
996,8
997,5
999,5
1000,7
1006,6
1009,4
1018,6
1025,5
1038,7
1042,6
1045,6
1046,8
1047,5
1050,6
1052,7
1054,8
1057,7
1061,2
1069,6
1071,6
1073,6
1074,8
1075,5
1083,5
1084,1
1089,5
1099,5
1103,4
1110,8
1123,7
1130,6
1135,6
1137,8
1145,8
1147,4
1152,8
1153,2
1154,7
1158,7
1166,7
1170,7
1172,7
1178,5
1179,8
1181,3
1182,7
1183,8
1191,6
1192,3
1200,3
1205,6
1207,6
1208,3
1209,4
1217,4
1223,7
1225,8
1226,3
1228,5
1230,6
1232,8
1235,8
1237,6
1257,7
1266,2
1267,6
1274,7
1277,7
1278,6
1280,7
1282,7
1293,6
1294,4
1305,7
1306,7
1311,7
1318,5
1320,8
1323,7
1325,4
1328,6
1336,5
1340,6
1341,8
1344,7
1345,7
1348,3
1358,1
1361,8
1364,5
1373,7
1377,5
1378,7
1380,7
1382,6
1383,5
1386,8
1387,2
1390,4
1395,7
1398,6
1402,4
1403,8
1405,7
1407,7
1410,1
1412,3
1419,5
1426,6
1428,8
1436,7
1437,4
1438,4
1441,8
1444,5
1448,3
1454,5
1457,6
1459,7
1463,7
1467,3
1471,6
1475,5
1476,4
1480,7
1481,3
1482,5
1489,5
1491,7
1494,7
1496,8
1500,8
1501,8
1503,6
1504,4
1505,4
1515,4
1517,6
1520,5
1521,5
1523,8
1526,7
1529,6
1530,6
1543,6
1544,8
1547,6
1550,8
1552,6
1554,6
1563,6
1574,6
1575,4
1576,6
1579,5
1582,4
1584,7
1585,7
1589,5
1596,6
1598,4
1611,6
1613,4
1615,6
1618,5
1627,7
1630,3
1638,7
1639,6
1640,8
1642,6
1645,6
1648,7
1654,5
1661,7
1662,7
1663,8
1666,5
1668,3
1670,2
1672,7
1681,6
1682,7
1683,3
1687,8
1688,7
1693,7
1694,6
1700,8
1704,6
1712,8
1716,8
1717,6
1722,5
1724,4
1738,2
1739,2
1740,8
1761,7
1763,7
1765,7
1766,7
1767,7
1771,6
1772,6
1777,7
1784,4
1799,5
1806,6
1810,3
1812,5
1814,3
1818,6
1819,8
1822,5
1823,8
1824,3
1834,5
1835,6
1844,5
1848,6
1849,8
1850,5
1851,3
1856,4
1862,3
1863,6
1872,6
1874,5
1875,8
1877,7
1900,7
1902,6
1904,6
1905,4
1908,7
1914,7
1916,3
1922,4
1933,6
1934,6
1939,7
1942,6
1947,8
1957,7
1971,7
1973,4
1974,6
1977,7
1981,6
1985,8
1987,6
1989,5
2001,4
2002,2
2007,2
2008,8
2011,5
2021,7
2034,7
2040,7
2044,5
2045,7
2048,8
2051,7
2062,7
2066,2
2068,5
2069,4
2074,7
2075,7
2078,7
2079,1
2080,3
2081,5
2084,2
2085,7
2087,7
2096,6
2102,7
2103,5
2107,8
2117,6
2118,3
2120,6
2121,5
2122,4
2130,7
2136,4
2138,8
2140,7
2143,7
2144,5
2145,5
2147,7
2150,3
2154,8
2155,3
2166,5
2169,4
2173,6
2176,1
2178,6
2179,5
2180,7
2184,8
2185,8
2188,5
2190,7
2194,7
2195,8
2198,5
2205,8
2206,7
2207,4
2212,6
2213,7
2216,8
2218,3
2224,7
2225,7
2228,8
2236,6
2242,8
2246,6
2250,8
2255,6
2256,2
2267,6
2268,7
2269,6
2272,6
2275,3
2280,8
2282,8
2287,7
2289,8
2293,8
2296,7
2307,6
2309,7
2313,6
2325,5
2327,7
2336,4
2339,7
2342,8
2347,7
2350,5
2360,6
2364,7
2369,2
2379,4
2394,7
2395,5
2399,8
2402,8
2410,8
2416,7
2420,7
2427,5
2434,8
2435,7
2441,8
2447,6
2452,6
2463,6
2467,6
2468,7
2470,6
2476,7
2483,3
2487,5
2492,7
2502,7
2504,5
2510,8
2511,2
2512,8
2517,7
2520,7
2521,7
2523,5
2524,6
2525,7
2526,5
2528,8
2530,4
2532,4
2536,5
2540,6
2541,6
2543,6
2549,7
2550,3
2556,4
2557,7
2559,7
2565,8
2566,8
2567,2
2568,5
2570,7
2573,8
2577,6
2578,6
2583,4
2586,5
2587,4
2588,7
2591,8
2597,8
2606,6
2607,8
2608,7
2611,3
2612,7
2613,7
2616,7
2621,8
2622,7
2634,7
2639,7
2642,2
2644,6
2650,3
2655,7
2664,7
2667,7
2670,5
2679,3
2681,7
2683,7
2685,8
2687,8
2696,5
2699,7
2712,3
2716,7
2720,7
2725,7
2726,7
2731,6
2733,8
2740,8
2742,7
2748,5
2749,8
2763,7
2771,8
2772,5
2773,6
2783,8
2784,7
2789,3
2796,5
2798,5
2799,7
2800,6
2802,7
2805,6
2809,6
2816,7
2817,6
2821,6
2822,8
2829,6
2832,4
2842,6
2844,6
2846,6
2851,6
2852,5
2853,7
2856,7
2862,4
2866,6
2868,5
2886,8
2892,6
2893,4
2898,7
2917,3
2923,3
2927,6
2930,8
2931,3
2935,7
2936,5
2961,3
2964,7
2967,7
2968,7
2970,6
2977,5
